PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating,Coating_Number,Loading,Loading_Number,Dose_(mg/kg),Dose_Group,IC50 ,Delivery_Efficiency_(%ID/g),Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined_Therapy1,Combined_Therapy2,Combined_Therapy3,Combined_Therapy_Grouped,Study strategy,Imaging_1,Imaging_2,Imaging_3,Imaging_4
20623530,Small,2010,10.1002/smll.201000538,Inorganic,Silica,Systemic,Other,3,NA,Spherical,Vitamins,1,Drugs,1,50,3,NA,NA,NA,NA,Xenograft heterotopic,Breast,15,Multiple,99.88636364,NA,NA,NA,Lung,Intestine,Spleen,Chemotherapy,None,None,Single,Therapy,None,None,None,None
20630586,Biomaterials,2010,10.1016/j.biomaterials.2010.06.031,Inorganic,Gold,Systemic,Other,NA,NA,Spherical,Antibody,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Prostate,1,Single,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Theragnostic,Fluorescence,None,None,None
20681684,J Am Chem Soc,2010,10.1021/ja103415t,Inorganic,Silica,NA,NA,3,NA,Spherical,None,None,Drugs,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
20731439,ACS Nano,2010,10.1021/nn100736c,Inorganic,Gold,Systemic,IV,NA,NA,Other,Polymer-Proteins,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Skin,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Photoacoustic,None,None,None
20738120,ACS Nano,2010,10.1021/nn101016f,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,None,None,Nanoparticle,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Prostate,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Luminescence,None,None,None
20815402,ACS Nano,2010,10.1021/nn1015117,Inorganic,Silica,Local,Other,NA,NA,Other,Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,NA,Skin,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
20835443,Nanoscale,2010,10.1039/c0nr00359j,Inorganic,Gold,Systemic,IV,1,NA,Other,None,None,None,None,18.8,3,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None
20878636,Small,2010,10.1002/smll.201000903,Inorganic,Hybrid,Systemic,IV,4,NA,Spherical,None,None,Drugs-NPs,>1,NA,NA,NA,0.58,Yes,NA,NA,NA,1,Single,NA,4839.7,2319,301.7,Liver,Spleen,Kidney,Gene therapy,Chemotherapy,None,Multiple,Therapy,None,None,None,None
20886481,Angew Chem Int Ed Engl,2010,10.1002/anie.201003142,Inorganic,Silica,Systemic,IV,3,Neutral,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Skin,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None
20939602,Nano Lett,2010,10.1021/nl102623x,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Proteins,>1,None,None,NA,NA,NA,NA,NA,1,Xenograft heterotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
20970851,Biomaterials,2011,10.1016/j.biomaterials.2010.09.024,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Proteins,1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
20973487,ACS Nano,2010,10.1021/nn100918a,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Polymer,1,Drugs,1,20,3,Yes,NA,NA,NA,Xenograft heterotopic,Liver,4,Multiple,71.0467706,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21043459,ACS Nano,2010,10.1021/nn101643u,Inorganic,Iron_oxide,Systemic,IV,3,Positive,Spherical,Polymer,1,None,None,125,4,NA,NA,NA,NA,Xenograft orthotopic,Liver,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
21147502,Biomaterials,2011,10.1016/j.biomaterials.2010.11.053,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Ovary,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Theragnostic,None,None,None,None
21176955,Biomaterials,2011,10.1016/j.biomaterials.2010.11.040,Inorganic,Iron_oxide,Systemic,IV,3,Positive,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
21257200,Biomaterials,2011,10.1016/j.biomaterials.2010.12.055,Inorganic,Iron_oxide,Systemic,IV,4,Negative,Spherical,None,None,Nanoparticle,>1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,1211.465893,963.8606676,737.3004354,Spleen,Liver,Kidney,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
21272668,Nanomedicine,2011,10.1016/j.nano.2011.01.002,Inorganic,Gold,Local,Intratumoral,2,NA,Other,Other,1,None,None,7.69,2,NA,NA,NA,NA,Allograft orthotopic,Other,1,Single,59.08304,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None
21277019,Biomaterials,2011,10.1016/j.biomaterials.2011.01.001,Inorganic,Gold,Local,Intratumoral,1,NA,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Lung,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,CT,None,None,None
21277630,Biomaterials,2011,10.1016/j.biomaterials.2011.01.008,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Pancreas,1,Single,96.63351186,NA,NA,NA,Lung,Liver,Spleen,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21333751,Nanomedicine,2011,10.1016/j.nano.2011.01.013,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Other,1,Drugs,1,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Other,10,Multiple,72.99258408,186.6666667,120,60,Liver,Intestine,Skin,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21344891,ACS Nano,2011,10.1021/nn103047r,Inorganic,Gold,Systemic,IV,NA,Positive,Other,Glycosides,>1,None,None,0.004,1,NA,118.1,Yes,NA,Allograft heterotopic,Other,1,Single,89.12391,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,Fluorescence,None,None,None
21458063,Biomaterials,2011,10.1016/j.biomaterials.2011.03.018,Inorganic,Hybrid,Systemic,IV,NA,Positive,Spherical,Peptide,>1,None,None,20,3,NA,NA,NA,NA,Xenograft heterotopic,Brain,2,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
21486679,Biomaterials,2011,10.1016/j.biomaterials.2011.03.050,Inorganic,Silica,Systemic,Other,4,Positive,Spherical,Polymer-mAb,>1,Drugs,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,7,Multiple,55,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21550654,Biomaterials,2011,10.1016/j.biomaterials.2011.04.037,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,None,None,Nanoparticle,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
21645920,Biomaterials,2011,10.1016/j.biomaterials.2011.05.047,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer-Drugs,>1,None,None,15,3,Yes,NA,NA,4,Xenograft heterotopic,Brain,1,Single,74.02867558,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
21648076,Small,2011,10.1002/smll.201100472,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Nucleic acid-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Prostate,4,Multiple,54.18259947,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
21675727,ACS Nano,2011,10.1021/nn2005766,Inorganic,Silica,Systemic,IV,2,Neutral,Spherical,Polymer-mAb,>1,Other,1,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Other,15,Multiple,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Therapy,None,None,None,None
21688390,Small,2011,10.1002/smll.201100927,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer-peptide,>1,None,None,10,2,NA,NA,NA,NA,Xenograft heterotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Other,CT,None,None
21703996,Nanomedicine,2012,10.1016/j.nano.2011.06.002,Inorganic,Silica,Systemic,Other,3,NA,Spherical,Vitamins,1,Drugs,1,50,3,NA,NA,NA,NA,Xenograft heterotopic,Pancreas,12,Multiple,87.20207254,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21745689,Biomaterials,2011,10.1016/j.biomaterials.2011.06.039,Inorganic,Hybrid,NA,NA,2,NA,Spherical,Antibody,1,None,None,NA,NA,NA,2.91,Yes,NA,Xenograft heterotopic,Skin,1,Single,NA,1600,889.347079,327.1477663,Liver,Spleen,Kidney,Photothermal therapy,None,None,Single,Theragnostic,MRI,None,None,None
21756949,J Control Release,2011,10.1016/j.jconrel.2011.06.039,Inorganic,Silica,Systemic,IV,3,Negative,Spherical,Drugs,1,Drugs,1,17,3,NA,0.83,Yes,NA,Xenograft heterotopic,Colon,6,Multiple,33.18681319,3.24,0.94,0.25,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21783245,Biomaterials,2011,10.1016/j.biomaterials.2011.06.030,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Proteins,1,Nanoparticle,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
21801769,J Control Release,2011,10.1016/j.jconrel.2011.07.019,Inorganic,Hybrid,Systemic,IV,2,NA,Spherical,Polymer-peptide,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Other,1,Single,NA,NA,NA,NA,Liver,Heart,Lung,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
21816467,Biomaterials,2011,10.1016/j.biomaterials.2011.06.066,Inorganic,Silica,Systemic,IV,2,NA,Spherical,None,None,Drugs,1,NA,NA,Yes,NA,NA,NA,Xenograft orthotopic,Breast,2,Multiple,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21854047,ACS Nano,2011,10.1021/nn202399w,Inorganic,Silica,Local,Intratumoral,3,Positive,Spherical,Antibody,>1,Drugs,>1,27.4,3,NA,NA,NA,NA,Xenograft heterotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21892492,Nanoscale,2011,10.1039/c1nr10580a,Inorganic,Silica,Systemic,IV,3,NA,Spherical,None,None,Drugs,1,5,1,Yes,0.8,Yes,NA,Xenograft heterotopic,Breast,1,Single,NA,12.4,2.2,2.1,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Therapy,None,None,None,None
21909083,Nat Nanotechnol,2011,10.1038/nnano.2011.149,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Proteins,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Other,1,Single,82.82220513,NA,NA,NA,NA,NA,NA,Immunotherapy,None,None,Single,Theragnostic,MRI,None,None,None
21981330,J Am Chem Soc,2011,10.1021/ja206998x,Inorganic,Silica,Systemic,IV,2,NA,Spherical,Polymer,1,Drugs,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,None,None,None,None
22027594,Biomaterials,2012,10.1016/j.biomaterials.2011.10.017,Inorganic,Hybrid,Local,Intratumoral,4,Negative,Other,Polymer-Drugs,>1,Other,1,32,3,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,85.45454545,NA,NA,NA,NA,NA,NA,Photothermal therapy,Chemotherapy,None,Multiple,Theragnostic,MRI,Fluorescence,Thermal imaging,None
22061490,Biomaterials,2012,10.1016/j.biomaterials.2011.10.052,Inorganic,Gold,Systemic,IV,1,NA,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Lung,1,Single,NA,13761.9,2397.9,535.5,Spleen,Liver,Lung,None,None,None,None,Diagnostic,CT,None,None,None
22063003,J Control Release,2012,10.1016/j.jconrel.2011.10.028,Inorganic,Gold,Systemic,IV,2,Positive,Spherical,Polymer,1,Drugs,1,NA,NA,Yes,NA,NA,NA,Xenograft orthotopic,Breast,2,Multiple,91.91486,NA,NA,NA,NA,NA,NA,Photothermal therapy,Chemotherapy,None,Multiple,Therapy,None,None,None,None
22133237,Nano Lett,2012,10.1021/nl202949y,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Other,>1,Drugs,1,NA,NA,Yes,NA,NA,NA,Allograft heterotopic,Liver,8,Multiple,100,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
22177841,Biomaterials,2012,10.1016/j.biomaterials.2011.11.086,Inorganic,Silica,Systemic,IV,NA,NA,Spherical,Polymer,1,Other,>1,13,3,NA,NA,NA,NA,Xenograft heterotopic,Breast,NA,NA,NA,NA,NA,NA,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Theragnostic,MRI,CT,Ultrasound,None
22271594,Small,2012,10.1002/smll.201101789,Inorganic,Gold,Systemic,IV,NA,NA,Rod,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Other,1,Single,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,Other,None,None,None
22300621,J Control Release,2012,10.1016/j.jconrel.2012.01.023,Inorganic,Iron_oxide,Systemic,IV,2,Neutral,Spherical,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Pancreas,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
22324543,ACS Nano,2012,10.1021/nn205070h,Inorganic,Iron_oxide,Systemic,IV,2,Neutral,Spherical,Polymer,>1,None,None,5.22,2,NA,NA,NA,NA,Allograft orthotopic,Breast,1,Single,NA,NA,NA,NA,Liver,Lung,Kidney,None,None,None,None,Diagnostic,MRI,None,None,None
22362270,Nanoscale,2012,10.1039/c2nr11918h,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Drugs,>1,None,None,35,3,NA,NA,NA,NA,Allograft heterotopic,Liver,1,Single,70.67137809,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
22378564,Adv Mater,2012,10.1002/adma.201104964,Inorganic,Iron_oxide,Systemic,IV,2,NA,Other,Polymer,>1,None,None,20,3,NA,5,Yes,3,Allograft heterotopic,Breast,1,Single,100,312.6637555,258.9519651,56.33187773,Liver,Spleen,Lung,Photothermal therapy,None,None,Single,Theragnostic,MRI,Fluorescence,Photoacoustic,None
22395568,Nanoscale,2012,10.1039/c2nr11554a,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,1,Allograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
22425023,Biomaterials,2012,10.1016/j.biomaterials.2012.02.060,Inorganic,Silica,Systemic,Other,2,NA,Spherical,Other,>1,Other,1,5,1,NA,80,Yes,NA,Allograft heterotopic,Breast,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Other,MRI,PET,None
