PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Details sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core /NPs  or vesicles,Core (details),Dose_(mg/kg),Dose_other data,IC50 ,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined therapies ,Detail Combined strategy,Study strategy,Detail study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon
30624889,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b16226,Inorganic,Iron_oxide,Local,Intratumoral,,"138,95",,No info,Other,Polymer-Drugs,Dox coating ,None,,Iron oxide,,28,,No info,No info,No info,No info,Xenograft heterotopic,Skin,1,95.65210708,,,,,,,Magnetic Field + Chemotherapy,,Theragnostics,,MR imaging,84.85,1951.52,95.65210708,,,,,,,,,,,,,,,,,,,,,
31577423,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b11843,Inorganic,Iron_oxide,Systemic,IV,,23.3,,"-33,15",Spherical,None,,Drugs,Ce6 + DOX + IO,Other,mesoporous manganese oxide,10,,"3,0 ug/mL NPs",13.7,3.4,No info,Xenograft heterotopic,Brain,1,98.84393064,144.7700009,88.67265038,37.96927591,Liver,Kidney,Spleen,Magnetic Field + Laser irradiation +Chemotherapy,,Theragnostics,,MR imaging,0.2,17.3,98.84393064,,154040.404,9413299.663,2468855.219,1627104.377,,5765712.682,,,,6502244.669,0,2.369034263,144.7700009,37.96927591,25.02373349,0,88.67265038,0,0,0
30911166,Nat Nanotechnol,2019,10.1038/s41565-019-0406-1,Inorganic,Iron_oxide,Systemic,IP,,30,,No info,Spherical,Polymer,Polyglucose sorbitol carboxymethylether,None,,Iron oxide,,6,,No info,No info,No info,No info,Xenograft heterotopic,Other,9,75.2152603,,,,,,,,,Therapy,,None,18.71,75.49,75.2152603,,,,,,,,,,,,,,,,,,,,,
31498999,Nano Lett,2019,10.1021/acs.nanolett.9b01202,Inorganic,Iron_oxide,Local,Intratumoral,,122.7,,-9.7,Spherical,Polymer-Drugs,PLGA +Dox coating,None,,Iron oxide,Core-shell NPs,0.225,,,No info,No info,No info,Xenograft orthotopic,Breast,1,93.7716263,,,,,,,,,Therapy,,None,0.18,2.89,93.7716263,,,,,,,,,,,,,,,,,,,,,
31553151,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b12469,Inorganic,Iron_oxide,Systemic,IV,,112.6,,"14,6",Spherical,None,,Drugs,Sorafenib + IO,Polymer,self-assembly chitosan oligosaccharide loaded with IO - CSO-BHQ-IR780-Hex,,6 mg Sorafenib/kg ,No info,No info,No info,31.25,Allograft heterotopic,Breast,5,95.65606807,,,,Liver,Spleen,,Photodynamic (Photosensitizers) + Magnetic field + Chemotherapy,,Therapy,,None,48.5,1116.5,95.65606807,,,,,,,,,,,,,,,,,,,,,
29979569,ACS Nano,2018,10.1021/acsnano.7b07572,Inorganic,Iron_oxide,Systemic,IV,,18,,-16,Spherical,Peptide,2PG-S*VVVT-PEG4-ol,None,,Iron oxide,,,2 mg Fe/kg,No info,No info,No info,No info,Xenograft orthotopic,Liver,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30277747,ACS Nano,2018,10.1021/acsnano.8b02813,Inorganic,Iron_oxide,Systemic,IV,,250,,No info,Spherical,None,,Other,Lactate oxide + -KillerRed-AAV2-IO,Other,Self assembled HA,,5 × 109 per 100 uL,No info,No info,No info,No info,Xenograft heterotopic,Lung,2,62.7272781,,,,Liver,,,Photodynamic,,Theragnostics,,MR imaging,630.77,1692.31,62.7272781,,,,,,,,,,,,,,,,,,,,,
30037455,Biomaterials,2018,10.1016/j.biomaterials.2018.07.004,Inorganic,Iron_oxide,Local,Intratumoral,,50,,No info,Spherical,Drugs,Nitroxide radical (NO),None,,Iron oxide,,,50 mg Fe/kg,No info,No info,No info,No info,Xenograft heterotopic,Ovary,1,58.07856733,,,,,,,Magnetic Field,,Theragnostics,Autophagy,MR imaging,2022.99,4825.67,58.07856733,,,,,,,,,,,,,,,,,,,,,
30048114,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b10167,Inorganic,Iron_oxide,Local,Intratumoral,,32.1,,"-29,9",Spherical,Other,OA,None,,Iron oxide,,,1 mg Fe/kG,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,58.99517889,,,,,,,Laser irradiation,,Therapy,Autophagy,None,193.92,472.92,58.99517889,,,,,,,,,,,,,,,,,,,,,
28625045,ACS Nano,2017,10.1021/acsnano.7b01762,Inorganic,Iron_oxide,Local,Intratumoral,,52.4,,No info,Spherical,Polymer,PEG2000 + OA,None,,Iron oxide,,,"2,5 mg Fe/kG",No info,No info,No info,No info,Xenograft heterotopic,Brain,1,#DIV/0!,,,,,,,Magnetic Field,,Therapy,,None,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
29892761,Nanoscale,2018,10.1039/c8nr03085e,Inorganic,Iron_oxide,Systemic,IV,,417.8,,"-28,6",Spherical,Vitamins,folic acid and a luminescent PTTA-Eu3+ complex + OA,None,,Iron oxide,Cobalt/iron oxide NPs,50,,No info,No info,No info,No info,Xenograft heterotopic,Other,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30055399,Biomaterials,2018,10.1016/j.biomaterials.2018.07.028,Inorganic,Iron_oxide,Local,Intratumoral,,172.1,,"-19,55",Spherical,Polymer,PLGA,Drugs,Doxorubicin,Polymer,PLGA matrix with IO + DOX ,25.23,,No info,No info,No info,No info,Xenograft heterotopic,Colon,2,81.56521739,,,,,,,Magnetic Field + Chemotherapy,,Theragnostics,,MR imaging,2.12,11.5,81.56521739,,,,,,,,,,,,,,,,,,,,,
31132380,J Control Release,2019,10.1016/j.jconrel.2019.05.036,Inorganic,Iron_oxide,Systemic,IV,,218,,"-5,01",Spherical,Peptide,Peptide,Antibody,aPD1 + IO,Polymer,perfluoropentane (PFP) in PLGA + IO coating,,1 mg PLGA-PEG-GRGDS/kG,No info,No info,4.39,No info,Allograft heterotopic,Skin,2,98.22710004,842.1052632,589.4736842,42.10526316,Liver,Spleen,Kidney,Photothermal + Chemotherapy,,Therapy,,None,1.26,71.07,98.22710004,,256684492,6844919786,4791443850,256684492,128342246,342245989.3,,,,812834224.6,0,31.57894737,842.1052632,589.4736842,31.57894737,15.78947368,42.10526316,0,0,0
29652130,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b01967,Inorganic,Iron_oxide,Systemic,IV,,281,,"-5,49",Spherical,Vitamins,Folic acid + OA-coated IO (in the PEG shell) ,Drugs,Doxorubicin,Polymer,Perfluoropentane matrix,55.56,,No info,No info,No info,No info,Xenograft heterotopic,Liver,1,100,,,,Liver,Spleen,,Ultrasound + Chemotherapy ,,Theragnostics,,MR imaging,0,2916,100,,,,,,,,,,,,,,,,,,,,,
29237264,J Am Chem Soc,2018,10.1021/jacs.7b08900,Inorganic,Iron_oxide,Systemic,IV,,24,,No info,Spherical,Vitamins,Peptide linker connecting ANNA & Folic acid,None,,Iron oxide,,,10 mg Fe/ kG,No info,No info,No info,No info,Xenograft heterotopic,Colon,1,#DIV/0!,,,,Liver,Spleen,Bone Marrow,,,Diagnostic,,Fluorescence,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30256373,Nanoscale,2018,10.1039/c8nr04995e,Inorganic,Iron_oxide,Systemic,IV,,51.7,,No info,Other,Other,Sodium citrate,None,,Iron oxide,,,2 mg Fe/ kG,No info,No info,No info,No info,Allograft orthotopic,Liver,1,#DIV/0!,,,,Liver,Spleen,Lung,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
29339188,Nanomedicine,2018,10.1016/j.nano.2018.01.004,Inorganic,Iron_oxide,Systemic,IV,,60,,11,Spherical,Polymer-Proteins,Transferrin (Tf-PEG-PLL),Nucleic acids,siPLK1,Iron oxide,,1.6,,No info,No info,No info,No info,Xenograft orthotopic,Brain,4,#DIV/0!,229.5160191,28.42535787,26.72119973,Liver,Spleen,Kidney,Gene therapy + Magnetic field,,Therapy,,None,,,#DIV/0!,,5459216.442,1081245986,133911368,77713551.7,i.e. Tumor,125883108.5,,,,471098265.9,0,1.158827539,229.5160191,28.42535787,16.49625085,#VALUE!,26.72119973,0,0,0
30028120,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b09086,Inorganic,Iron_oxide,Local,Intratumoral,,107,,"20,7",Spherical,Nucleic acid-Drugs,iRGD peptide + Dox + microRNA + PEI,None,,Iron oxide,Magnetic core-shell NPs,5,,No info,No info,No info,No info,Xenograft heterotopic,Breast,11,#DIV/0!,,,,,,,Gene therapy + Chemotherapy,,Therapy,,None,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
29308812,Nanoscale,2018,10.1039/c7nr08319j,Inorganic,Iron_oxide,Systemic,IV,,32,,No info,Spherical,Polymer,DSPE-PEG2000 + OA,None,,Iron oxide,,,30 mg Fe/kG,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
29561590,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b02398,Inorganic,Iron_oxide,Local,Intratumoral,Cells delivery,160,,No info,Spherical,Polymer,OA - coated IO,Drugs,Doxorubicin +OA - coated IO,Silica,Mesoporous silica NPs,50,,No info,No info,No info,No info,Allograft heterotopic,Other,1,51.34099617,,,,,,,Magnetic Field + Chemotherapy,,Therapy,,None,2.54,5.22,51.34099617,,,,,,,,,,,,,,,,,,,,,
29276823,Angew Chem Int Ed Engl,2018,10.1002/anie.201710144,Inorganic,Iron_oxide,Systemic,IV,,45,,No info,Spherical,Polymer,Lipid-PEG,Nucleic acids,siRNA,Iron oxide,Amorphous IO NP,,0.9 mg siRNA/ kg,No info,No info,No info,No info,Xenograft heterotopic,Prostate,4,62.64656616,314.6747352,84.72012103,39.63691377,Kidney,Liver,Lung,Gene therapy,,Theragnostics,,MR imaging,2.23,5.97,62.64656616,,0.508,11.2,2.6,5.24,,41.6,,,,13.22,0,3.842662632,84.72012103,19.66717095,39.63691377,0,314.6747352,0,0,0
31755692,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b14060,Inorganic,Iron_oxide,Systemic,IV,,85.08,,"21,9",Spherical,Drugs,mTHPC - Photosensitizer,None,,Iron oxide,Ce-Doped-Maghemite NPs,0.15-0.5,,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,65.26179192,375,337.5,163,Spleen,Lungs,Liver,Photodynamic  + Magnetic field,,Therapy,,None,61.57,177.24,65.26179192,,0.13,0.13,0.3,0.27,0.02,0.05,,,,0.08,0,162.5,162.5,375,337.5,25,62.5,0,0,0
27738498,Nano Res,2016,10.1007/s12274-016-1028-7,Inorganic,Iron_oxide,Systemic,IV,,30,,"-24,23",Spherical,Vitamins,Vitamin-flavin mononucleotide,None,,Iron oxide,,,2500 mg Fe/kg,No info,No info,No info,No info,Xenograft heterotopic,Prostate,1,#DIV/0!,47.78820375,28.28418231,23.9,Liver,Skin,Lungs,,,Theragnostics,,MR imaging,,,#DIV/0!,3.17,1.2,7.13,3.3,3.56,,2.38,2.4,4.22,2.24,14.92,21.24664879,8.042895442,47.78820375,22.11796247,23.86058981,0,15.95174263,16.08579088,28.28418231,15.01340483
29200260,ACS Appl Mater Interfaces,2018,10.1021/acsami.7b14593,Inorganic,Iron_oxide,Systemic,IV,,70,,No info,Spherical,Other,metals - Au/Ag + Oleic acid,None,,Iron oxide,IO - (Au-Au Shell e Shell),20,,No info,No info,No info,No info,Xenograft orthotopic,Brain,1,77.03927492,268.6922061,165.3896962,27.74108322,Spleen,Liver,Kidney,Laser irradiation + Magnetic field,PTT + Magnetic targeting,Theragnostics,,MR imaging,133,579.25,77.03927492,,1.18,12.52,20.34,1.3,,2.1,,,,7.57,0,15.58784676,165.3896962,268.6922061,17.17305152,0,27.74108322,0,0,0
29863836,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b05205,Inorganic,Iron_oxide,Local,Intratumoral,,152.3,,"45,3",Spherical,Polymer,"chitosan,  PVA and bPEI",Drugs,photosensitizer-Rose bengal,Iron oxide,,18.7,,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,84.47319778,,,,,,,Photodynamic,PDT - light irradiation (532 nm),Therapy,,None,130.2,838.55,84.47319778,,,,,,,,,,,,,,,,,,,,,
27934080,ACS Nano,2016,10.1021/acsnano.6b06051,Inorganic,Iron_oxide,Systemic,IV,,50,,No info,Spherical,None,,Other,IO,Other,adeno-associated virus serotype 2 with KillerRed,,5 × 109 GC mouse−1,No info,No info,No info,No info,Xenograft heterotopic,Lung,2,66.89667058,,,,Liver,,,Photodynamic  + Magnetic field,PDT + Magnetic targeting,Therapy,,None,499.42,1508.67,66.89667058,,,,,,,,,,,,,,,,,,,,,
31475516,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b10182,Inorganic,Iron_oxide,Systemic,Sub-cutaneous,Subcutaneous + Hydrogels,145,,10,Spherical,Polymer-nucleic acids,folate/polyethylenimine-conjugated poly(organophosphazene) polymer + SiRNA,Other,AU-IO NPs,Polymer,Self-assembly of polymer loaded AU/IO,30.5,,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,97.70491803,17.03248464,10.44776119,7.374890255,Kidney,Heart,Liver,Laser irradiation + Gene therapy,NIR laser + siRNA,Therapy,,None,0.14,6.1,97.70491803,,30715339.23,21681415.93,13938053.1,15228613.57,,50073746.31,,,,293989675.5,0,10.44776119,7.374890255,4.741000878,5.179982441,0,17.03248464,0,0,0
27487574,Biomaterials,2016,10.1016/j.biomaterials.2016.07.030,Inorganic,Iron_oxide,Local,Intratumoral,,40,,"-25,7",Other,None,,None,,Iron oxide,Magnetospirillum magneticum AMB-1,16,,No info,No info,No info,No info,Allograft heterotopic,Liver,1,93.10346911,,,,,,,Laser irradiation + Magnetic field,NIR laser (808 nm) + Magnetic targeting,Theragnostics,,MR imaging,228.26,3309.78,93.10346911,,,,,,,,,,,,,,,,,,,,,
30565621,Nanoscale,2019,10.1039/c8nr08109c,Inorganic,Iron_oxide,Systemic,IV,,95,,10,Spherical,Vitamins,NHS-PEG-FA + NHS-IRdye800,None,,Iron oxide,,11.11,,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,99.25,,,,,,,Laser irradiation,(PTT) NIR laser (808 nm),Theragnostics,,MR imaging,0.024,3.2,99.25,,,,,,,,,,,,,,,,,,,,,
24308364,ACS Appl Mater Interfaces,2014,10.1021/am404946v,Inorganic,Iron_oxide,Local,Sub-cutaneous,,No info,,No info,Spherical,Polymer-Drugs,HA +DOX,None,,Iron oxide,,,1 mg DOX/ Kg,No info,No info,No info,No info,Xenograft heterotopic,Ovary,1,73.0427144,,,,,,,Chemotherapy,,Therapy,,None,49.1,182.14,73.0427144,,,,,,,,,,,,,,,,,,,,,
29111494,Biomaterials,2018,10.1016/j.biomaterials.2017.10.036,Inorganic,Iron_oxide,Systemic,IV,,11.8,,No info,Spherical,Polymer,Polyglucose sorbitol carboxymethylether,None,,Iron oxide,,,50 mg Fe/kg,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30719918,Nano Lett,2019,10.1021/acs.nanolett.8b04411,Inorganic,Iron_oxide,Systemic,IV,,80,,No info,Spherical,Other,oleic acid + hydrazine,None,,Iron oxide,Assembly IO,,4 mg Fe/kG,No info,No info,2.2,No info,Xenograft heterotopic,Lung,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30141615,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b10452,Inorganic,Iron_oxide,Systemic,IV,,163,,-28,Spherical,Peptide,Dye + cRGD + silica shell,None,,Iron oxide,Core (IO)-Shell (SILICA) ,,4 mg Fe/kG,No info,No info,No info,No info,Allograft heterotopic,Other,1,#DIV/0!,206.5989848,60.40609137,54.3,Liver,Kidney,Spleen,,,Diagnostic,,Fluorescence + MRI + CT,,,#DIV/0!,,107.2340426,692.7659574,182.1276596,192.3404255,,202.5531915,,,,335.3191489,0,31.97969543,206.5989848,54.31472081,57.36040609,0,60.40609137,0,0,0
30255143,Sci Adv,2018,10.1126/sciadv.aat2297,Inorganic,Iron_oxide,Systemic,IV,,205,,No info,Other,Peptide,peptide–coated magnetic NPs with -cyclodextrin–bearing polysaccharides,None,,Iron oxide,,80,,No info,No info,No info,No info,Xenograft heterotopic,Lung,1,#DIV/0!,,,,,,,Other,responsive nanofibers - light irradtiation and geomagnetism,Therapy,,None,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
26754032,ACS Appl Mater Interfaces,2016,10.1021/acsami.5b10352,Inorganic,Iron_oxide,Systemic,IV,,310,,"-26,8",Spherical,None,,None,,Iron oxide,,50,,No info,No info,No info,No info,Allograft heterotopic,Other,3,90.10225247,26.89655172,23.44827586,20.68965517,Liver,Kidney,Lung,Laser irradiation,NIR laser (PTT),Theragnostics,,MRI + CT,108.8,1099.24,90.10225247,,22.22222222,54.16666667,26.38888889,41.66666667,,47.22222222,,,,201.3888889,0,11.03448276,26.89655172,13.10344828,20.68965517,0,23.44827586,0,0,0
30191237,Nanoscale,2018,10.1039/c8nr03741h,Inorganic,Iron_oxide,Systemic,IV,,114,,"-42,5",Spherical,None,,Other,OA-coated IO and AG + DiR,Other,DSPC and DSPEmPEG2000 phospholipids micelles,,25 mg Fe /kG,No info,1.403508772,No info,No info,Xenograft orthotopic,Breast,1,#DIV/0!,2950,1787.5,300,Spleen,Liver,Lung,,,Diagnostic,,"DEM, CT, MRI, and NIRF",,,#DIV/0!,,0.526315789,25.0877193,41.40350877,4.210526316,,,,,,1.403508772,0,37.5,1787.5,2950,300,0,0,0,0,0
29733876,J Control Release,2018,10.1016/j.jconrel.2018.04.052,Inorganic,Iron_oxide,Systemic,IV,,,50 nm - without coating,No info,Spherical,Antibody,,None,,Iron oxide,,,1.2 μg/dose of mAb198.3  spmNPs,No info,No info,No info,No info,Xenograft heterotopic,Colon,6,50.69124424,,,,,,,Magnetic field + Immunotherapy,static magnetic field,Therapy,,None,403.7735849,818.8679245,50.69124424,,,,,,,,,,,,,,,,,,,,,
30266634,J Control Release,2018,10.1016/j.jconrel.2018.09.022,Inorganic,Iron_oxide,Local,Other,,16,,No info,Spherical,Other,fluorescent carbon shell,None,,Iron oxide,Core-shell NPs,5,,No info,0.943396226,No info,No info,Xenograft heterotopic,Brain,1,85.05747126,660,460,240,Liver,Kidney,Spleen,Laser irradiation,NIR laser (PTT),Theragnostics,,MR imaging,1,6.692307692,85.05747126,,1.320754717,6.226415094,2.264150943,1.320754717,,4.339622642,,,,0.943396226,0,140,660,240,140,0,460,0,0,0
30641267,Biomaterials,2019,10.1016/j.biomaterials.2019.01.019,Inorganic,Iron_oxide,Systemic,Oral,,132.1,,-13,Spherical,Vitamins,aliphatic chain segments within SLNs + FA + Dextran,Drugs,Doxorubicin + OA coatedSPIONs,Other,Solid lipid nanoparticles,,12 mg DOX/kG,7 uM,No info,No info,No info,Allograft orthotopic,Colon,3,93.33333333,,,,,,,Magnetic Field + Chemotherapy,high frequency magnetic field,Therapy,,None,0.151624549,2.274368231,93.33333333,,,,,,,,,,,,,,,,,,,,,
28186215,Nanoscale,2017,10.1039/c7nr00089h,Inorganic,Iron_oxide,Systemic,IV,,26,,No info,Spherical,Polymer,HA,None,,Iron oxide,,,5 mg Fe /kG,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
29910700,Adv Funct Mater,2018,10.1002/adfm.201707030,Inorganic,Iron_oxide,Systemic,IV,,36.89,,No info,Spherical,Drugs,photosensitizer PpIX + OA,None,,Iron oxide,IO nanoclusters,,5 mg PpIX/ Kg,No info,No info,No info,No info,Allograft orthotopic,Breast,1,80.99688474,,,,,,,Photodynamic,Laser irradiation (632 nm) PDT,Therapy,,None,570.0934579,3000,80.99688474,,,,,,,,,,,,,,,,,,,,,
26766814,ACS Nano,2016,10.1021/acsnano.5b07249,Inorganic,Iron_oxide,Local,Other,,,20 nm -edge,No info,Other,Other,poly(maleic anhydride alt-1 octadecene),None,,Iron oxide,,35,,No info,No info,No info,No info,Xenograft heterotopic,Skin,1,88.35616438,,,,,,,Laser irradiation + Magnetic field,"Laser irraditation (808 NM, PTT) + AC magnetic field hyperthermia",Therapy,,None,0.591304348,5.07826087,88.35616438,,,,,,,,,,,,,,,,,,,,,
31195303,Biomaterials,2019,10.1016/j.biomaterials.2019.119254,Inorganic,Iron_oxide,Systemic,IV,,No info,,No info,Spherical,Polymer,nano-Se + PEI + PVP,None,,Iron oxide,manganese carbonate-deposited iron oxide,2,,No info,No info,No info,No info,Xenograft heterotopic,Cervix,1,72.94117647,554.3478261,130.4347826,71.73913043,Spleen,Liver,Heart,Other,Chemodynamic therapy,Theragnostics,,MR imaging,540.6716418,1998.134328,72.94117647,,2.374100719,4.316546763,18.34532374,2.014388489,,2.230215827,,,,3.309352518,0,71.73913043,130.4347826,554.3478261,60.86956522,0,67.39130435,0,0,0
