PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Therapy,Study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Obs,Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon,,,,,,,,,,,,,,,,,,,,,,,
31081332,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b04236,Inorganic,Silica,Systemic,IV,158,,-37.5,Spherical,Other,Organosilica nanoshell,Drugs,doxorubicin ,Other,,12.1,,,,,,Xenograft heterotopic,Cervix,8,77.77777778,,,,,,,Chemotherapy,Theragnostics,Other,4,18,77.77777778,Core: Zeolitic imidazolate framework,,,,,,,,,,,,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31259530,ACS Nano,2019,10.1021/acsnano.9b00097,Inorganic,Silica,Systemic,IV,70,,24.3,Spherical,Drugs,Zolendronate,Other,Gold nanorods,Gold,,2,,,,,,Xenograft heterotopic,Breast,5,99.6,,,,,,,Photothermal,Therapy,Other,0.05,12.5,99.6,Breast cancer Bone metastasis. Imaging Photoacustic,,,,,,,,,,,,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31682097,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b15434,Inorganic,Silica,Systemic,IV,110,,"8,9(pH 7,4)",Spherical,Polymer,DMMA/Hyaluronic acid - Janus Nanoparticle,Drugs,Doxorubicin ,Silica,,19.4,,,3.1,,,Xenograft heterotopic,Lung,8,82.32502966,3.7,3.4,1.4,liver,spleen,kidney,Chemotherapy,Therapy,,298,1686,82.32502966,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31747128,Small,2019,10.1002/smll.201903895,Inorganic,Silica,,,,,Review,,,,,Review,,,,,,,,,,,,N/A,,,,,,,,Therapy,,,,N/A,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30016073,ACS Nano,2018,10.1021/acsnano.8b03900,Inorganic,Silica,,,,Focused on AuNPs. Just a brief mention to Silica NPs in comparison to AuNP,,,,,,Focused on AuNPs. Just a brief mention to Silica NPs in comparison to AuNP,,,,,,,,,,,,N/A,,,,,,,,Therapy,,,,N/A,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29561590,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b02398,Inorganic,Silica,Local,Other,160,,Not available,Spherical,Polymer,NIPAM Thermoresponsive polymer,Drugs,superparamagnetic iron oxide NPs and Doxorubicin,Silica,,43,,,,,,Allograft orthotopic,Skin,1,53.84615385,,,,,,,Chemotherapy + Magnetic field,Therapy,,2.4,5.2,53.84615385,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30083665,Nanoscale,2018,10.1039/c8nr03973a,Inorganic,Silica,Local,Sub-cutaneous,45.9,,,Spherical,Other,Silica,Other,Gold-Silica Janus NPs,Gold,,,,,,,,,,,N/A,,,,,,,,Diagnostic,Photoacustic,,,N/A,Gold-Silica Janus NPs for imaging. No tumor model,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29992216,Nanoscale,2018,10.1039/c8nr02971g,Inorganic,Silica,Systemic,IV,130,,-22,Spherical,Polymer-Drugs,PAMAM-cisplatin/Chitosan and dimethylmaleic anhydride,Drugs,Gemcitabine,Silica,,90.9,,,,,,Xenograft heterotopic,Lung,8,78.29787234,,,,,,,Chemotherapy,Therapy,,91.8,423,78.29787234,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30410684,Nano Res,2018,10.1007/s12274-018-2078-9,Inorganic,Silica,Systemic,IV,115,,N/A,Spherical,Polymer-mAb,PEG-anti-CD105,Other,Upconversion NP/SPIONs/Quantum dots,Other,,N/A,,,5.2,N/A,,Allograft orthotopic,Breast,N/A,N/A,29.8,20.8,2.9,liver,spleen,bone,,Theragnostics,,N/A,N/A,N/A,No results regarding therapy or diagnosis. Just Biodistribution and potential as theranostic,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31251050,J Am Chem Soc,2019,10.1021/jacs.9b03503,Inorganic,Silica,Systemic,IV,172.5,,N/A,Spherical,Polymer,PEG,Drugs,Disulfiram and copper,Silica,,20,,,5.1,1.8,,Allograft heterotopic,,2,72.01365188,52,44,34,spleen,liver,lung,,Therapy,,82,293,72.01365188,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29489325,ACS Nano,2018,10.1021/acsnano.8b00242,Inorganic,Silica,,,Comparison between 2 silica NPs,,,Spherical,,,,,,,,,,,,,,,,0,,,,,,,,Therapy,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30130088,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b10339,Inorganic,Silica,Local,Other,110,,N/A,Spherical,Proteins,,None,"Iridium, Copper",,,4.3,,,N/A,N/A,,Xenograft heterotopic,Cervix,1,94.11764706,,,,,,,,Therapy,,0.3,5.1,94.11764706,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31724677,Nanoscale,2019,10.1039/c9nr06371d,Inorganic,Silica,Systemic,IV,67,,19,Spherical,None,,None,,,,"8,3 ug/mL",,,,,,Xenograft heterotopic,Cervix,,0,,,,,,,,Therapy,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31364258,Angew Chem Int Ed Engl,2019,10.1002/anie.201908357,Inorganic,Silica,Systemic,IV,70,,30,Spherical,None,,Drugs,paclitaxel,,,10,,,N/A,N/A,,Xenograft heterotopic,Ovary,5,64.17604913,,,,,,,Chemotherapy,Therapy,,3.5,9.77,64.17604913,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29870655,ACS Nano,2018,10.1021/acsnano.8b01440,Inorganic,Silica,,,"Nanocapsules (Au@HSN-PGEA, AHPs) composed of in-situ-formed gold nanorod (Au NR) cores and polycationic mesoporous silica shells ",,,,,,,,,,,,,,,,,,,0,,,,,,,,Therapy,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29128843,Biomaterials,2018,10.1016/j.biomaterials.2017.10.047,Inorganic,Silica,Systemic,IV,200,,N/A,Rod,None,,Drugs,Ganciclovir,,,25,,,,,,Xenograft heterotopic,Liver,1,93.8,,,,,,,,Therapy,,0.062,1,93.8,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30070282,Nanoscale,2018,10.1039/c8nr03782e,Inorganic,Silica,,,No efficacy studies,,,Spherical,Polymer-mAb,,,,,,,,,,,,,,,0,,,,,,,,Therapy,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30387197,Adv Mater,2018,10.1002/adma.201802479,Inorganic,Silica,Systemic,Sub-cutaneous,<100,,N/A,Spherical,,,Drugs,Merocinanine and tumor associated fragments,,,N/A,,,N/A,N/A,,Allograft heterotopic,Colon,3,99.76872964,,,,,,,Immunotherapy + Chemotherapy,Therapy,,0.071,30.7,99.76872964,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31570915,Nanoscale,2019,10.1039/c9nr06524e,Inorganic,Silica,Systemic,IV,120,,14.2,Spherical,Polymer,,Drugs,Mitroxantone,,,120,,,N/A,N/A,,Allograft orthotopic,Breast,1,N/A,,,,,,,Chemotherapy,Therapy,,N/A,N/A,N/A,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30028120,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b09086,Inorganic,Silica,,,"magnetic zinc-doped iron oxide (ZnFe2O4) core nanoparticle and a biocompatible mesoporous silica (mSi) shell, for the simultaneous delivery of let-7a microRNA (miRNA) and anticancer drugs (e.g., doxorubicin) ",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31736295,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b15774,Inorganic,Silica,Systemic,IV,323,,8,Spherical,None,,None,Selenium,,,10,,,13.68,,,Allograft heterotopic,,,75.77777778,36.7,26.5,12.8,liver,spleen,lung,,Therapy,,65.4,270,75.77777778,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31657911,ACS Nano,2019,10.1021/acsnano.9b03424,Inorganic,Silica,Systemic,IV,120,,"25,6",Spherical,Polymer,Hyaluronic acid,Proteins,Cytochrome c,Other,,20,,,,,,Xenograft heterotopic,Cervix,6,84.83146067,Data only available in suplementary ,,,liver,lung ,spleen,,Theragnostics,NIR,0.135,0.89,84.83146067,Core: Upconversion NP,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31474108,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b12879,Inorganic,Silica,Systemic,iv,490,,N/A,Other,Polymer-Drugs,Polyethylene glycol - Folic Acid,Drugs,Tirapazamine,Silica,,5,,,27.8,,,Xenograft heterotopic,Liver,1,86.81818182,30.07,20,19.8,spleen,liver,kidney,Chemotherapy+Radiotherapy + NIR,Therapy,,0.145,1.1,86.81818182,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29733890,Nanomedicine,2018,10.1016/j.nano.2018.04.018,Inorganic,Silica,Systemic,IV,102,,"31,3",Spherical,Vitamins,Cyanin and Folic Acid,None,N/A,Silica,,100 uL,,,,,,Xenograft orthotopic,Pancreas,1,N/A,,,,,,,,Diagnostic,Fluorescence,,,#DIV/0!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29771490,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b03823,Inorganic,Silica,Local,Intratumoral,226,,"29,8",Spherical,Polymer-Nucleic acids,"poly[2-(N,N-dimethylaminoethyl) methacrylate](PDMAEMA) + shRNA",Drugs,Doxorubicin,Silica,,N/A,,,,,,Xenograft heterotopic,Liver,1,81.41732283,,,,,,,Gene Therapy + Chemoterapy,Therapy,,2.36,12.7,81.41732283,Photo-responsive NP ,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30442595,Nanomedicine,2019,10.1016/j.nano.2018.10.005,Inorganic,Silica,Systemic,IV,95,,"29,5",Other,Other,DTPA (Diethylenetriamine pentaacetate)  and Manganesium2+,None,No loading ,Silica,,2.5,of Iron content (total amount of NP not specificied),,,,,,,1,#DIV/0!,,,,,,,,Diagnostic,Other,,,#DIV/0!,Shape: Nano-bullets; Imaging for MRI. No efficacy with tumors,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29565139,Nano Lett,2018,10.1021/acs.nanolett.8b00040,Inorganic,Silica,Systemic,IV,100,,-18,Spherical,Polymer,"polyethylene glycol (PEG) / 2,3-dimethylmaleic anhydride (DMMA) co-grafted poly(allylamine hydrochloride) (PAH)",Drugs,Catalase and Chlorine e6,Silica,,5,of Ce6 content,,,,,Allograft heterotopic,Breast,1,77.98165138,,,,Liver,kindey,Spleen,Photodynamic + Immunotherapy,Therapy,,2.4,10.9,77.98165138,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30141615,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b10452,Inorganic,Silica,Systemic,IV,163,,-28,Spherical,Peptide,"Au NPs, Fluorescent dye and cRGD peptide",Other,Iron Oxide NP,Silica,,,,,,,,Allograft orthotopic,Other,1,#DIV/0!,,,,,,,Chemotherapy,Diagnostic,Other,,,#DIV/0!,"Imaging: MRI, CT and Fluorescence",,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
27879041,Small,2017,10.1002/smll.201602747,Inorganic,Silica,Systemic,IV,44,,"12,7",Spherical,None,N/A,Drugs,Doxorubicin,Silica,,8.5,of cypate content,"0,1 (ug/mL)",,,,Allograft heterotopic,Breast,1,99.44751381,,,,liver,kidney,lung,Photothermal + Chemotherapy,Therapy,,0.1,18.1,99.44751381,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30179443,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b10564,Inorganic,Silica,Systemic,IV,110,Analyzed from TEM images ( size not mentioned in the paper) ,N/A,Spherical,Other,SPIONS,Drugs,Camptothecin,Silica,,2.5,of Camptothecin/Body weight,,,,2.25,Xenograft orthotopic,Pancreas,,80.74179743,,,,,,,Photothermal + Chemotherapy,Theragnostics,MR imaging,1.35,7.01,80.74179743,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28875999,Nanoscale,2017,10.1039/c7nr04685e,Inorganic,Silica,,,207.3,This study is about the protein corona in vitro,"-19,5",Spherical,Polymer-Drugs,Polyethylene glycol (PEG)-Transferrin (Tf),None,,Silica,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30020771,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b06275,Inorganic,Silica,Systemic,IV,53.8,,-16.2,Spherical,None,-,Drugs,Doxorubicin,Silica,,45,2 mg dox/kg (mouse 22 g) (loading capacity 4.4%),0.346 (ug/mL),-,1.73,66.84,Xenograft heterotopic,Breast,6,47.54098361,11.8,11.6,7.9,liver,lung,spleen,Chemotherapy,Therapy,,3.2,6.1,47.54098361,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28402365,Nanoscale,2017,10.1039/c7nr01070b,Inorganic,Silica,,,152,Only in vitro studies. Ultrasound responsive NP,22,Spherical,Polymer,"poly(2-(2-
methoxyethoxy)ethylmethacrylate-co-2-tetrahydropyranyl
methacrylate, p(MEO2MA-co-THPMA) and poly(ethylenimine)",Drugs,Doxorubicin,Silica,,,,,,,,,Breast,,,Not available ,Not available ,Not available ,Not available ,Not available ,Not available ,Chemotherapy,,,,,,Only in vitro studies,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
27910990,Nanoscale,2017,10.1039/c6nr07004c,Inorganic,Silica,Systemic,IV,190,,-18,Spherical,Polymer,N-(2-hydroxypropyl) methacrylamide (HPMA),Drugs,docetaxel,Silica,,59,5 mg docetaxel/kg /mouse 22 g) (LC 8.32%),1.21 uM DTX,,,5.32,Xenograft heterotopic,Cervix,4,83.83673469,Not available ,Not available ,Not available ,Not available ,Not available ,Not available ,Chemotherapy,Therapy,,198,1225,83.83673469,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29803106,Biomaterials,2018,10.1016/j.biomaterials.2018.05.025,Inorganic,Silica,Systemic,Sub-cutaneous,200,,-6,Spherical,Polymer,polyethylenimine ,Proteins,Ovalbumin + CpG (TLR9 agonist),Silica,,,,,,,,Allograft orthotopic,Skin,3,86.48648649,Not available ,Not available ,Not available ,Not available ,Not available ,Not available ,Immunotherapy ,Therapy,,500,3700,86.48648649,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
