PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,Core details,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor volume (control),Tumor volume (treated),Tumor_Vol_Reduction_(%),Tumor Accumulation,Muscle Accumulation,Muscle (%),Heart Accumulation,Heart (%),Liver Accumulation,Liver (%),Spleen Accumulation,Spleen (%),Lung Accumulation,Lung (%),Brain Accumulation,Brain (%),Kidney  Accumulation,Kidney (%),Bladder Accumulation,Bladder (%),Skin Accumulation,Skin (%),Intestine Accumulation,Colon (%),Stomach Accumulation,Stomach (%),Off_target_1_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation_(%),Off_target_2_accumulation,Off_target_3_accumulation_(%),Off_target_3_accumulation,Study strategy,Therapy,Imaging,Notes
30130583,Nanomedicine,2018,10.1016/j.nano.2018.07.014,Inorganic,Gold,,,243,,-5.28,,Other,Exosomes,None,,Iron oxide,Iron and gold nanoclusters,,,,,,,Xenograft heterotopic,Gastric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,None,Fluorescence,
29906096,ACS Nano,2018,10.1021/acsnano.8b00482,Inorganic,Gold,Local,Intratumoral,57,,,Plate,Other,Gold,,,Silver,,,0.75 mM [Ag+Au],,,,,Xenograft heterotopic,Prostate,1,7.03,0.74,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal,None,
29498821,ACS Nano,2018,10.1021/acsnano.7b08242,Inorganic,Gold,Local,Intratumoral,59.3,,,Spherical,Polymer,PEG,Radioactive elements,103Pd:Pd,Gold,,6,,,,,,Xenograft heterotopic,Prostate,1,,,,81.36,,,,,15.51,19.1,2.72,3.3,,,,,,,,,,,,,,,19.1,Liver,3.3,Spleen,,,Therapy,Radioactive therapy,CT,
29336463,Nanoscale,2018,10.1039/c7nr08509e,Inorganic,Gold,Systemic,IV,88.4,,-20.8,Rod,Proteins,Corona (from mouse serum),Drugs,Chlorin e6,Gold,,10,9.63 ug/kg Ce6,,0.0752,,,Xenograft heterotopic,Oral,1,618.65,1.84,99.7,496.6,,,184.6,37.17,28070,5652.44,22860,4603.3,720.6,145.11,,,356.9,71.87,,,,,,,,,5652.44,Liver,4603.3,Spleen,356.9,Kidney,Therapy,Photodynamic + Phothothermal therapy,None,
30058139,Small,2018,10.1002/smll.201801851,Inorganic,Gold,Systemic,IV,158.3,,-25.1,Other,Other,Gold nanoshell + amino-functionalized porous metal–organic frameworks (NH2-MOFs),Drugs,Chlorin e6,Alloy,Platinum,10,,,8,,,Xenograft heterotopic,Breast,1,12.08,0,100,8.58,,,0.23,2.7,74.89,872.8,28.29,329.7,13.45,156.8,,,3.48,40.6,,,,,,,,,872.8,Liver,329.7,Spleen,156.8,Lung,Therapy,Photodynamic + Photothermal therapy,None,
29870655,ACS Nano,2018,10.1021/acsnano.8b01440,Inorganic,Gold,Local,Intratumoral,400,,38,Rod,Nucleic acid,Polycationic mesoporous silica shell + antioncogene p53,Drugs,Sorafenib,Gold,,,"377 ug of SF-Au@HSN-PGEA, 15 ug of p53",,,,,Xenograft heterotopic,Liver,1,10.55,0.81,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy + Chemotherapy +  Gene therapy,CT + Photoacoustic,
29323915,Nano Lett,2018,10.1021/acs.nanolett.7b04162,Inorganic,Gold,Systemic,IV,299.7,,-18.5,Rod,Polymer,"Copper sulfide shell + poly
(N-isopropylacrylamide-co-acrylamide) (P(NIPAM-co-AM)) + yolk-shell",Drugs,Doxorubicin,Gold,,20,,,11.64,,,Xenograft heterotopic,Breast,1,1585.31,5.25,99.7,11.64,,,3.03,26,22.4,192.4,10.39,89.3,1.61,13.8,,,2.26,19.4,,,,,,,,,192.4,Liver,89.3,Spleen,26,Heart,Therapy,Photodynamic + Photothermal + Chemotherapy,Fluorescence,
29667812,ACS Nano,2018,10.1021/acsnano.8b00027,Inorganic,Gold,Systemic,IP,,,-34.5,,Proteins,YHWYGYTPQNVIKKKKYCC peptide,None,,Gold,,15,,,60,,,Xenograft heterotopic,Nasopharyngeal,10,1562.16,445.75,71.5,60,,,31.8,53,61.6,102.7,94.4,157.3,36.4,60.7,,,110,183.3,,,,,,,,,183.3,Kidney,157.3,Spleen,102.7,Liver,Therapy,,,
31293148,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b05943,Inorganic,Gold,Systemic,IV,15,,10,Spherical,Proteins,Glutamine and lysine + Ferrous iron + Transglutaminase,None,,Gold,,,2 mg/ml,,,,,Xenograft heterotopic,Skin,1,295,7,97.6,18.23,,,0.23,1.3,15.2,83.4,10.49,57.5,0.64,3.5,,,0.12,0.7,,,,,,,,,83.4,Liver,57.5,Spleen,3.5,Lung,Therapy,Catalytic medicine + Photothermal therapy,None,
31474108,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b12879,Inorganic,Gold,Systemic,IV,260,,,Other,Polymer,Folic acid-linked PEG,Drugs,Tirapazamine,Silica,Hybrid gold triangle-mesoporous silica,5,,,28,,,Xenograft heterotopic,Liver,1,1.08,0.14,87,28,,,9.99,35.7,20.11,71.8,30.79,110,14.89,53.2,,,20,71.4,,,,,,,,,110,Spleen,71.8,Liver,71.4,Kidney,Therapy,Radiotherapy + Photothermal therapy + Chemotherapy,None,
31006932,Angew Chem Int Ed Engl,2019,10.1002/anie.201903256,Inorganic,Gold,Systemic,IV,4.7,,,Spherical,Polymer-Drugs,"PEG + 4-mercaptobenzoic
acid (MBA) + Doxorubicin",None,,Gold,,5 (drug dose),,0.95 uM,4.06,,,Xenograft heterotopic,Breast,5,16.82,3.93,76.6,2.26,0.53,23.5,0.04,1.8,13.22,585,,,1.66,73.5,,,3.16,139.8,,,,,,,,,585,Liver,139.8,Kidney,73.5,Lung,Therapy + Pharmacokinetics,Chemotherapy,None,
29885899,Nanomedicine,2018,10.1016/j.nano.2018.05.019,Inorganic,Gold,Local,Intratumoral,85.4,,-39.4,Other,Polymer-mAb,PEG-Trastuzumab,,,Gold,,,,,,,,Xenograft heterotopic,Gastric,3,427.69,164.62,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Immunotherapy,None,
30964253,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b00495,Inorganic,Gold,Systemic,IV,,25 nm (length) x 5 nm (diameter),-33.7,Rod,Polymer,Thiolated PEGs,,,Gold,,10,,,5.47,,,Allograft heterotopic,Breast,1,9.97,0.03,99.7,2.66,,,2.71,101.9,6.04,227.1,5.75,216.2,4.3,161.7,,,2.62,98.5,,,,,,,,,227.1,Liver,216.2,Spleen,161.7,Lung,Theragnostics,Photothermal therapy,Photoacoustic,
31174065,Biomaterials,2019,10.1016/j.biomaterials.2019.119223,Inorganic,Gold,Systemic,IV,261.9,,,Spherical,Proteins,BSA-Au nanoclusters,Other,1-octy1-3-methylimidazolium hexafluorophosphate,Iron oxide,Iron,50,,,,,,Not enough information provided,Liver,1,4981.15,164.61,96.7,4.75,,,1.09,22.9,11.94,251.4,2.53,53.3,1.34,28.2,,,6.93,145.9,,,,,,,,,251.4,Liver,145.9,Kidney,53.3,Spleen,Theragnostics,Photodynamic + Photothermal therapy,MRI + Fluorescence,
29196180,Nanomedicine,2018,10.1016/j.nano.2017.11.019,Inorganic,Gold,Local,Intratumoral,36.6,,6.5,Spherical,Polymer-peptide,PEG + RME peptide + H5WYG peptide,None,,Gold,,6,,,,,,Xenograft heterotopic,Breast,1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Laser irradation,None,
29366881,Nanomedicine,2018,10.1016/j.nano.2018.01.007,Inorganic,Gold,Systemic,Oral,179.9,,0.487,Spherical,Polymer,PLGA,Drugs,Quinacrine,Gold,,40,,0.5 ug/ml,,,,Xenograft orthotopic,Oral,>15,45.81,6.65,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Chemotherapy,None,
29799598,Nanoscale,2018,10.1039/c8nr02429d,Inorganic,Gold,Systemic,IV,30,,-26,Spherical,Polymer-Proteins,CN-PPV polymer + PSMA polymer + NIR775 dye + LyP-1 peptide,,,Alloy,Fe3O4 + Gold,1 (NPs),with 2 mg/kg doxorubicin simultaneously,,,,,Xenograft heterotopic,Liver,7,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence + MRI + CT,
29200260,ACS Appl Mater Interfaces,2018,10.1021/acsami.7b14593,Inorganic,Gold,Systemic,IV,70,,26.5,Other,None,Double layer of Ag/Au,,,Iron oxide,,20,3.3 mg/kg Fe,,7.7,,,Xenograft orthotopic,Brain,1,576.09,128.76,77.6,7.72,,,1.51,19.6,12.89,167,20.61,267,1.51,19.6,7.72,100,2.47,32,,,,,,,,,267,Spleen,167,Liver,32,Kidney,Theragnostics,Photothermal + Magnetic field,MRI,
28557433,ACS Appl Mater Interfaces,2017,10.1021/acsami.7b02303,Inorganic,Gold,Systemic,IV,41.3,,-8.62,Spherical,Polymer-peptide,PEG + AK peptide + R8-RGD + 2-cyano-6-aminobenzothioazole,Drugs,Doxorubicin,Gold,,3 (drug dose),,,17.7,,,Xenograft orthotopic,Brain,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence  + Photoacoustic + CT,
31475516,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b10182,Inorganic,Gold,Local,Hydrogel,145,,10,Spherical,Polymer-Nucleic acid,Folic acid + PEI + PEG (FPP) + siRNA,Other,Au/Fe3O4 nanoparticles,Alloy,Fe3O4 + Gold,,"siPLK-1 (100 ug/mouse), Au-Fe3O4 (500 ug/mouse)",,,,,Xenograft heterotopic,Breast,1,6.09,0.13,97.9,9.08,,,1.17,12.9,8.18,90.1,1.89,20.8,2.25,24.8,,,25.08,276.2,,,,,,,,,276.2,Kidney,90.1,Liver,24.8,Lung,Theragnostics,Photothermal  + Gene therapy,Fluorescence,
30284807,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b12758,Inorganic,Gold,Systemic,IV,See size note,"38 nm (diameter), 115 nm (length)",,Rod,Polymer-Drugs,PEG + Doxorubicin,None,,Gold,,,1 mg/ml,,,,,Xenograft heterotopic,Other,,342.1,1.09,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Chemotherapy,CT + Photoacoustic,
29694478,Nanoscale,2018,10.1039/c8nr00663f,Inorganic,Gold,Systemic,IV,30,,20.4,Rod,Polymer-Drugs,BSA + Au + PEG + Folic acid + Doxorubicin,None,,Alloy,single-walled carbon nanotubes,5,,,,35,,Xenograft heterotopic,Cervix,2,6.67,0,100,0.67,,,0.39,58.2,0.48,71.6,0.24,35.8,0.31,46.3,,,0.61,91,,,,,,,,,91,Kidney,71.6,Liver,58.2,Heart,Theragnostics,Photothermal + Chemotherapy,Photoacoustic,
27871990,J Control Release,2017,10.1016/j.jconrel.2016.11.021,Inorganic,Gold,Systemic,IV,14,,,Spherical,Proteins-Drugs,PEG + BSA + anti-EGFR D11 antibody,None,,Gold,,0.000009,,0.206 uM,,,,Xenograft heterotopic,Colon,2,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Immunotherapy,None,
31455962,Nanoscale,2019,10.1039/c9nr03821c,Inorganic,Gold,Systemic,IV,2.4,,,Spherical,Glycosides,1-thio-beta-D-glucose,None,,Gold,,,27 mg/ml (gold concentration),,202,,,Xenograft orthotopic,Breast,1,,,,2.2,0.7,31.8,1.09,49.5,12.45,565.9,10.1,459.1,1.52,69.1,0.04,1.8,12.66,575.5,,,2.74,124.5,1.87,85,1.72,78.2,575.5,Kidney,565.9,Liver,459.1,Spleen,Therapy,Photothermal therapy,None,
30869510,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b21488,Inorganic,Gold,Local,Intratumoral,500,,10,Other,Proteins,Silk fibroin,None,,Gold,,,100 ug/ml,,,,,Xenograft heterotopic,Breast,1,5.89,0.08,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,None,
29113793,J Control Release,2018,10.1016/j.jconrel.2017.11.003,Inorganic,Gold,Systemic,IV,,,,Spherical,Drugs,Doxorubicin,,,Gold,,,5 mg/kg (drug dosage),,15.8,,,Xenograft heterotopic,Lung,1,371.77,55.77,85,15.8,,,8.89,56.3,2.22,14.1,430.99,2727.8,23.33,147.7,,,3.89,24.6,,,,,,,,,2727.8,Spleen,147.7,Lung,56.3,Heart,Theragnostics,Chemotherapy,CT,
29251910,ACS Appl Mater Interfaces,2018,10.1021/acsami.7b14705,Inorganic,Gold,Systemic,IV,85.3,,-5,Spherical,Polymer-Drugs,Pt shell + CRDD peptide + doxorubicin,None,,Gold,,10,,0.92 ug/ml,3,,,Xenograft heterotopic,Breast,1,2627.88,104.93,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Chemotherapy,Photoacoustic,
30350653,Nano Lett,2018,10.1021/acs.nanolett.8b02670,Inorganic,Gold,Systemic,IV,100,,8.79,Other,Proteins-Drugs,"CGGGKKKKKKKKKK peptide + triphenylphosphonium (TPP) + 
thermal initiator 2,2′-Azobis[N-(2-carboxyethyl)-2-methylpropionamidine]
hydrate (V057) + fluoresceinamine (FA) or
cyanine5.5 (Cy5.5)",None,,Gold,,2,,,4.9,,,Allograft heterotopic,Breast,1,3.48,1.5,56.9,4.9,,,2.61,53.3,3.09,63.1,1.14,23.3,1.54,31.4,,,4.35,88.8,,,,,,,,,88.8,Kidney,63.1,Liver,53.3,Heart,Theragnostics,Photothermal therapy,Fluorescence,
27939904,Biomaterials,2017,10.1016/j.biomaterials.2016.11.056,Inorganic,Gold,Systemic,IV,94.6,,-13.1,Other,Glycosides,Hyaluronic acid,Drugs, R8 peptide + TPP-KLA peptide + Doxorubicin,Gold,Gold nanostar + R8 peptide + TPP-KLA peptide + Doxorubicin,8,,,,5,,Xenograft heterotopic,Other,1,15.21,0.31,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Chemotherapy,Fluorescence,
29471172,Nanomedicine,2018,10.1016/j.nano.2018.01.021,Inorganic,Gold,Systemic,IV,7,,9,Spherical,Proteins-Drugs,Polyacrylic acid + PKKKRKV peptide + cisplatin,None,,Gold,,1.5 (drug dosage),2.46 uM Au,4.9,,,,Xenograft orthotopic,Brain,5,115.85,25.94,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Ultrasound + Chemotherapy,None,
30251542,Nano Lett,2018,10.1021/acs.nanolett.8b03174,Inorganic,Gold,Systemic,IV,8,,,Spherical,Polymer-Proteins,PEG + PeptideCGGG(KLAKLAK)2 + peptide CYGRKKRRQRRR,None,,Polymer,Poly(beta-thioester),,2 mg/ml,,,,,Xenograft heterotopic,Breast,1,8.59,2.34,72.8,4.25,,,1.15,27.1,7.44,175.1,1.74,40.9,2.39,56.2,,,13.83,325.4,,,,,,,,,325.4,Kidney,175.1,Liver,56.2,Lung,Therapy,Photothermal therapy,Fluorescence + Photoacoustic,
22681980,Biomaterials,2012,10.1016/j.biomaterials.2012.05.047,Inorganic,Gold,Systemic,IP,12.1,,-2.55,Spherical,Polymer,PEG,None,,Gold,,4,,0.477 mM,,,,Xenograft heterotopic,Cervix,1,664.55,33.29,95,240.19,,,8.57,3.6,0,0,3354.16,1396.5,,,,,162.99,67.9,,,,,,,,,1396.5,Spleen,67.9,Kidney,3.6,Heart,Therapy,Radiotherapy,None,
30882830,Nanoscale,2019,10.1039/c9nr00918c,Inorganic,Gold,Systemic,IV,196.9,,-24.8,Spherical,Polymer-Drugs,Hyaluronic acid + Dopamine,None,,Alloy,MnO2 nanoparticles + Gold nanoshell,20,,,10.84,3.3,,Xenograft heterotopic,Breast,1,5.93,0.068,98.9,10.84,,,4.91,45.3,34.93,322.2,27.84,256.8,7.79,71.9,,,2.81,25.9,,,,,,,,,322.2,Liver,256.8,Spleen,71.9,Lung,Theragnostics,Photothermal + Radiotherapy,Optoacoustic + CT + MRI,
30724952,Nanoscale,2019,10.1039/c8nr09849b,Inorganic,Gold,Local,Intratumoral,10.8,,,Spherical,Polymer,Polyethylenimine,None,,Gold,,,20 µg Au,,,,,Allograft heterotopic,Colon,1,917.75,258.9,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,Photoacoustic,
28407493,Biomaterials,2017,10.1016/j.biomaterials.2017.04.007,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This paper does not use gold NPs, but Titanium nitride NPs, which are compared to gold nanorods but have a better performance"
29969226,ACS Nano,2018,10.1021/acsnano.8b01424,Inorganic,Gold,Local,Other,75,,6.2,Rod,Polymer,PEG,None,,Alloy,Gold nanorods with a Gadolinium shell,,,,,,,Allograft heterotopic,Colon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,Liver,2,Spleen,,,Theragnostics,Photothermal therapy,MRI + X-Ray,
30869726,Nanoscale,2019,10.1039/c9nr00041k,Inorganic,Gold,Systemic,,43.3,,-26.5,Other,Polymer,Aptamer,Drugs,Doxorubicin,Alloy,Gold NPs + shell of copper(II) carboxylate metal-organic frameworks,,"2 mg/ml, 4% Doxorubicin loading",,,,,Xenograft heterotopic,Lung,1,9.72,1.27,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Chemotherapy,Raman,
30597210,Nanomedicine,2019,10.1016/j.nano.2018.12.005,Inorganic,Gold,Systemic,IV,63.4,,,Other,Polymer,PEG,None,,Gold,Hollow gold nanoparticles,600,,,10.43,,,Allograft orthotopic,Breast,1,,,,10.43,,,2.71,26,42.29,405.5,38.99,373.8,2.71,26,0.71,6.8,4.57,43.8,,,,,,,,,405.5,Lung,373.8,Spleen,43.8,Kidney,Theragnostics,Photothermal + Radiotherapy,CT,
28460158,ACS Nano,2017,10.1021/acsnano.7b01346,Inorganic,Gold,Local,Intratumoral,120,,26.9,Spherical,Peptide,Chitosan + RGD peptide + ACPP peptide,Other,Coumarin-6,Alloy,Gold nanorod + Selenium shell,2,,10.89 uM,,,,Xenograft heterotopic,Skin,1,15.37,3.13,79.6,11.65,,,3.32,28.5,45.97,394.6,18.46,158.5,1.79,15.4,,,1.43,12.3,,,,,,,,,394.6,Liver,158.5,Spleen,28.5,Heart,Theragnostics,Radiotherapy + Chemotherapy,Photoacoustic,
29268142,Biomaterials,2018,10.1016/j.biomaterials.2017.12.003,Inorganic,Gold,Systemic,IV,See size note,"57.3 ± 9.4 nm (mean length), 16.2 ± 1.9 nm (mean width)",-9.4,Rod,Polymer-peptide,"Mesoporous silica + β-cyclodextrin + Peptide RLA ](RLARLAR)2] + Adamantane + 2,3-dimethylmaleic anhydride (DMA)-
modified chitosan oligosaccharide-block -poly (ethylene glycol) polymer (CS(DMA)-PEG)",Other,Idocyanine green (IGC),Gold,,20,,,,,,Xenograft heterotopic,Breast,9,511.67,89.17,82.6,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,Photodynamic + Photothermal therapy,,
28118704,ACS Appl Mater Interfaces,2017,10.1021/acsami.6b15185,Inorganic,Gold,Local,Intratumoral,200,,-14.76,Other,Proteins,Gold nanostar + PEG,Other,Perfluorohexane (PFH),Silica,Hollow porous silics nanocapsules,,32 nM (Au concentration9,,,,,Xenograft heterotopic,Brain,1,40.43,0.61,98.5,39.9,,,43.52,109,275.93,691.4,511.11,1280.7,250.93,628.7,,,33.33,83.5,,,,,,,,,1280.7,Spleen,691.4,Liver,628.7,Lung,Theragnostics,Photothermal therapy,Ultrasound + CT + Photoacoustic + Thermal imaging,
25630756,Small,2015,10.1002/smll.201403481,Inorganic,Gold,Local,Intratumoral,1,,,Spherical,Proteins,BSA,None,,Gold,,,5 nM,,,,,Xenograft heterotopic,Liver,1,964.75,201.67,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,None,
27882633,Angew Chem Int Ed Engl,2016,10.1002/anie.201609043,Inorganic,Gold,Systemic,IV,3.1,,,Spherical,Proteins,Glutathione,,,Alloy,Gold + Silver,,1.4 mg,,,0.085,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,None,
29558152,Nano Lett,2018,10.1021/acs.nanolett.7b05323,Inorganic,Gold,Systemic,Oral,60,,-23.3,,Other,Bio-mineralized gold nanoparticles,None,,Other,Thermally-sensitive programmable bacteria transformed with plasmids expressing therapeutic protein TNF-α,,10^10/mouse (photothermal imaging); 10^5/mouse (anti-cancer efficacy),,,,,Allograft heterotopic,Breast,2,1143,288.6,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,None,"Thermally-sensitive programmable bacteria transformed with plasmids expressing therapeutic protein TNF-α, and then decorated with bio-mineralized gold nanoparticles
(AuNPs)"
28829476,Nanoscale,2017,10.1039/c7nr02751f,Inorganic,Gold,Local,Intratumoral,89; 79,Using PCS (n=3 - 89 nm); Using TEM (n=20 - 79 nm),28.5,Spherical,Drugs,Bisnaphthalamide analogues,None,,Alloy,Hybrid iron oxide-gold nanoparticles,3 (drug dosage),,1.37 μg/ml,,,,Xenograft heterotopic,Pancreas,4,0.68,0.19,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Laser irradation,None,
29072767,Nanoscale,2017,10.1039/c7nr04979j,Inorganic,Gold,Systemic,Oral,14.5,,,Spherical,None,,None,,Gold,,50,,43.25 µg/ml,,,,Chemically-induced,Liver,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Other,None,
