PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating,Coating_Number,Total_Coating_Steps,Total_Coating_Steps_Group,Covalent,Electrostatic,Targeting_Type,Bioconjugation_nature,Bioconjugation_tech,PEG_Coat,PEG_Coat_tech,Loading,Loading_Number,Drug type,Dose_(mg/kg),Dose_Group,IC50 ,Delivery_Efficiency_(%ID/g),Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Immune status,Cancer_type,Breast cancer subtype,No._Days_dosing,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Tumor_Vol_Reduction_Group(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation_(%)_group,Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined_Therapy1,Combined_Therapy2,Combined_Therapy3,Combined_Therapy_Grouped,Study strategy,Imaging_1,Imaging_2,Imaging_3,Imaging_4,Combined_Imaging_Applications,Combined_Therapy_Applications,Combined_Applications,Combined_Applications_Grouped
20580427,Biomaterials,2010,10.1016/j.biomaterials.2010.06.008,Inorganic,Iron_oxide,Systemic,IV,3,Neutral,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,>1,Antimetabolite,2000,4,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Breast,Luminal A,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
20599526,Nanomedicine,2010,10.1016/j.nano.2010.06.005,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer-Drugs,>1,4,Medium,0,4,Passive,None,None,PEGylated,Electrostatic,None,None,Anthracycline,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Pancreas,,1,Single,NA,NA,NA,NA,NA,NA,Spleen,Kidney,Bladder,Chemotherapy,None,None,Single,Diagnostic,MRI,Fluorescence,None,None,2,1,3,High
20623530,Small,2010,10.1002/smll.201000538,Inorganic,Silica,Systemic,Other,3,NA,Spherical,Vitamins,1,2,Low,2,0,Active,Covalent,Covalent - EDC,Non PEGylated,None,Drugs,1,Topoisomerase inhibitor ,50,3,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,15,Multiple,99.88636364,Very High,NA,NA,NA,NA,Lung,Intestine,Spleen,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
20630586,Biomaterials,2010,10.1016/j.biomaterials.2010.06.031,Inorganic,Gold,Systemic,Other,NA,NA,Spherical,Antibody,>1,1,Low,1,0,Active,Covalent,Covalent - EDC,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Prostate,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Theragnostic,Fluorescence,None,None,None,1,0,1,Regular
20681684,J Am Chem Soc,2010,10.1021/ja103415t,Inorganic,Silica,NA,NA,3,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Drugs,1,Alkylating agent,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
20731439,ACS Nano,2010,10.1021/nn100736c,Inorganic,Gold,Systemic,IV,NA,NA,Other,Polymer-Proteins,>1,2,Low,2,0,Active,Covalent,Covalent - NHS,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Skin,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Photoacoustic,None,None,None,1,0,1,Regular
20738120,ACS Nano,2010,10.1021/nn101016f,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,1,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Prostate,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Luminescence,None,None,None,1,0,1,Regular
20815402,ACS Nano,2010,10.1021/nn1015117,Inorganic,Silica,Local,Other,NA,NA,Other,Drugs,>1,4,Medium,1,3,Passive,None,None,Non PEGylated,None,None,None,Anthracycline,NA,NA,NA,NA,NA,NA,NA,NA,Skin,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
20835443,Nanoscale,2010,10.1039/c0nr00359j,Inorganic,Gold,Systemic,IV,1,NA,Other,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,None,None,,18.8,3,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None,1,0,1,Regular
20878636,Small,2010,10.1002/smll.201000903,Inorganic,Hybrid,Systemic,IV,4,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,>1,Anthracycline,NA,NA,NA,0.58,Yes,NA,NA,NA,NA,,1,Single,NA,NA,4839.7,2319,301.7,Very High,Liver,Spleen,Kidney,Gene therapy,Chemotherapy,None,Multiple,Therapy,None,None,None,None,0,2,2,Regular
20886481,Angew Chem Int Ed Engl,2010,10.1002/anie.201003142,Inorganic,Silica,Systemic,IV,3,Neutral,Spherical,Polymer,>1,3,Medium,1,2,Passive,None,None,PEGylated,Covalent - Silane,None,None,,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Skin,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None,1,0,1,Regular
20939602,Nano Lett,2010,10.1021/nl102623x,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Proteins,>1,2,Low,1,1,Active,Covalent,Covalent - Maleimide,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,1,Xenograft heterotopic,Immunocompromised,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
20973487,ACS Nano,2010,10.1021/nn100918a,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Polymer,1,1,Low,1,0,Passive,None,None,PEGylated,Covalent - NHS,Drugs,1,Taxane,20,3,Yes,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Liver,,4,Multiple,71.0467706,Low,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
21043459,ACS Nano,2010,10.1021/nn101643u,Inorganic,Iron_oxide,Systemic,IV,3,Positive,Spherical,Polymer,1,1,Low,0,1,Passive,None,None,Non PEGylated,None,None,None,,125,4,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Liver,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
20970851,Biomaterials,2011,10.1016/j.biomaterials.2010.09.024,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Proteins,1,2,Low,2,0,Active,Covalent,Covalent - EDC,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
21147502,Biomaterials,2011,10.1016/j.biomaterials.2010.11.053,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-mAb,>1,3,Medium,2,1,Active,Covalent,Covalent - Maleimide,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Ovary,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,None,None,None,Theragnostic,Fluorescence,None,None,None,1,1,2,Regular
21176955,Biomaterials,2011,10.1016/j.biomaterials.2010.11.040,Inorganic,Iron_oxide,Systemic,IV,3,Positive,Spherical,Polymer,>1,5,High,4,1,Passive,None,None,PEGylated,Covalent - NHS,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
21257200,Biomaterials,2011,10.1016/j.biomaterials.2010.12.055,Inorganic,Iron_oxide,Systemic,IV,4,Negative,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,>1,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,1,Single,NA,NA,1211.465893,963.8606676,737.3004354,Very High,Spleen,Liver,Kidney,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None,2,0,2,Regular
21272668,Nanomedicine,2011,10.1016/j.nano.2011.01.002,Inorganic,Gold,Local,Intratumoral,2,NA,Other,Other,1,1,Low,0,1,Passive,None,None,Non PEGylated,None,None,None,,7.69,2,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Other,,1,Single,59.08304,Low,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
21277019,Biomaterials,2011,10.1016/j.biomaterials.2011.01.001,Inorganic,Gold,Local,Intratumoral,1,NA,Spherical,Polymer,1,2,Low,2,0,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Lung,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,CT,None,None,None,1,0,1,Regular
21277630,Biomaterials,2011,10.1016/j.biomaterials.2011.01.008,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Drugs,>1,2,Low,2,0,Passive,None,None,Non PEGylated,None,None,None,Anti-tumorigenic cytokine ,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Pancreas,,1,Single,96.63351186,High,NA,NA,NA,NA,Lung,Liver,Spleen,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
21333751,Nanomedicine,2011,10.1016/j.nano.2011.01.013,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Other,1,1,Low,0,1,Passive,None,None,Non PEGylated,None,Drugs,1,Anthracycline,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Other,,10,Multiple,72.99258408,Low,186.6666667,120,60,Medium,Liver,Intestine,Skin,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
21344891,ACS Nano,2011,10.1021/nn103047r,Inorganic,Gold,Systemic,IV,NA,Positive,Other,Glycosides,>1,1,Low,1,0,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,0.004,1,NA,118.1,Yes,NA,Allograft heterotopic,Immunocompromised,Other,,1,Single,89.12391,Medium,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,Fluorescence,None,None,None,1,1,2,Regular
21458063,Biomaterials,2011,10.1016/j.biomaterials.2011.03.018,Inorganic,Hybrid,Systemic,IV,NA,Positive,Spherical,Peptide,>1,4,Medium,3,1,Active,Covalent,Covalent - NHS,PEGylated,Covalent - Silane,None,None,,20,3,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Brain,,2,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
21486679,Biomaterials,2011,10.1016/j.biomaterials.2011.03.050,Inorganic,Silica,Systemic,Other,4,Positive,Spherical,Polymer-mAb,>1,5,High,4,1,Active,Covalent,Covalent - EDC,PEGylated,Covalent - Silane,Drugs,1,Tumor necrosis factor,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,7,Multiple,55,Low,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
21550654,Biomaterials,2011,10.1016/j.biomaterials.2011.04.037,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,1,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
21645920,Biomaterials,2011,10.1016/j.biomaterials.2011.05.047,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer-Drugs,>1,3,Medium,1,2,Passive,None,None,PEGylated,Covalent - EDC,None,None,Alkylating agent,15,3,Yes,NA,NA,4,Xenograft heterotopic,Immunocompromised,Brain,,1,Single,74.02867558,Low,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
